CT.PA.1,CT.PA.2,KD.PA.3,KD.PA.4,CT.SI.5,KD.SI.6,CT.SI.7
FBgn0035149,1158,1427,1620,1924,2789,2363,1797
FBgn0035150,1350,1561,2384,2506,3427,4460,2427
FBgn0035151,37,45,72,76,130,174,74
FBgn0035152,137,187,126,168,411,299,212
FBgn0035153,1170,1249,1216,1394,2322,1613,1442
FBgn0035154,54,57,82,105,123,161,86
FBgn0035155,79,104,109,119,164,144,117
FBgn0035158,540,644,734,840,1252,1207,749
FBgn0035159,125,155,137,189,356,349,188
FBgn0035160,72,75,80,112,133,115,89
FBgn0035161,45,54,34,34,114,118,106
FBgn0035162,9985,11283,12013,12589,16963,14928,15971
FBgn0035164,199,274,300,324,531,536,367
FBgn0035165,2183,2716,3198,3754,5641,6001,3371
FBgn0035166,208,240,272,293,480,552,395
FBgn0035167,58,55,92,127,81,136,103
FBgn0035169,235,323,331,385,507,608,476
FBgn0035173,312,283,462,501,613,774,355
FBgn0035181,854,1111,1109,1069,1574,1191,1351
FBgn0035189,48,36,398,335,86,429,29
FBgn0035194,182,214,170,197,372,275,300
FBgn0035195,1238,1457,1455,1732,2246,1864,1513
FBgn0035203,451,563,752,899,865,1033,811
FBgn0035204,361,439,368,380,897,616,739
FBgn0035205,1818,1992,2066,2199,4156,3218,2750
FBgn0035206,465,587,491,564,1320,1010,767
FBgn0035207,1752,2175,2297,2408,4432,3872,3098
FBgn0035209,166,269,267,305,425,364,394
FBgn0035210,166,229,270,330,399,415,308
FBgn0035211,66,82,87,124,129,140,107
FBgn0035213,694,784,659,723,1834,1343,1138
FBgn0035227,1186,1247,1176,1291,2500,1646,1544
FBgn0035228,1308,1497,1449,1553,2422,1847,2038
FBgn0035229,933,1034,1126,1130,1986,1569,1255
FBgn0035231,41,46,22,29,84,50,65
FBgn0035232,1313,1479,1058,1164,2738,1552,2024
FBgn0035233,116,157,138,139,311,247,225
FBgn0035235,450,496,420,506,1168,813,640
FBgn0035236,1368,1570,1451,1440,3256,2481,2861
FBgn0035237,773,737,920,1025,1548,1302,691
FBgn0035238,487,569,557,695,1035,826,588
FBgn0035241,43,37,24,25,80,41,29
FBgn0035243,187,252,254,318,575,436,298
FBgn0035244,1103,1412,1198,1308,1964,1504,1418
FBgn0035246,39,41,56,39,88,70,31
FBgn0035247,372,529,411,447,984,648,625
FBgn0035248,39,43,37,52,117,72,52
FBgn0035249,174,204,174,205,402,281,212
FBgn0035251,838,1021,931,1067,2184,1425,1157
FBgn0035252,327,465,488,501,1001,687,649
FBgn0035253,2579,2713,2759,3072,5374,3551,1771
FBgn0035254,119,144,132,155,275,185,154
FBgn0035262,308,301,202,203,524,328,246
FBgn0035263,27,31,27,15,59,33,18
FBgn0035266,158,221,451,511,310,505,274
FBgn0035268,553,611,635,698,1290,860,812
FBgn0035270,370,418,436,414,894,642,672
FBgn0035271,49,71,82,97,195,156,102
FBgn0035272,140,157,171,176,370,285,259
FBgn0035283,219,262,244,243,616,378,328
FBgn0035285,490,587,779,799,1420,1549,893
FBgn0035286,34,29,26,43,59,46,41
FBgn0035287,39,46,32,32,104,54,90
FBgn0035294,821,941,882,1022,1622,1073,1041
FBgn0035295,278,359,449,492,783,789,510
FBgn0035298,418,526,577,594,913,877,774
FBgn0035309,120,122,106,128,276,236,261
FBgn0035312,173,205,129,132,315,190,239
FBgn0035318,329,418,465,505,756,597,566
FBgn0035321,762,1020,912,869,1803,1772,1768
FBgn0035323,154,201,206,235,349,309,194
FBgn0035333,1457,1614,1605,1726,2679,2503,2441
FBgn0035334,372,503,441,494,928,599,499
FBgn0035335,120,189,173,206,388,388,320
FBgn0035336,246,290,288,269,588,532,349
FBgn0035337,126,174,164,195,462,309,216
FBgn0035338,718,706,557,596,1720,937,728
FBgn0035344,78,76,30,28,163,46,110
FBgn0035346,517,515,696,721,1080,1141,736
FBgn0035347,487,479,413,417,1004,678,791
FBgn0035348,371,534,410,519,969,625,774
FBgn0035355,47,58,70,64,179,178,147
FBgn0035356,44,49,74,84,152,147,139
FBgn0035357,30,41,46,35,194,163,90
FBgn0035358,34,36,40,41,59,56,30
FBgn0035359,59,51,44,50,73,60,38
FBgn0035370,1699,1923,1947,2409,4159,3128,2426
FBgn0035371,1511,1560,1629,1804,3116,2447,2163
FBgn0035372,535,759,682,790,1402,992,811
FBgn0035374,372,515,533,571,715,770,624
FBgn0035375,691,784,771,808,1263,1073,1006
FBgn0035383,451,536,502,580,981,749,669
FBgn0035388,1006,1131,1032,1158,2167,1640,1296
FBgn0035390,607,727,1019,1030,1533,1676,1129
FBgn0035392,38,54,58,61,77,73,52
FBgn0035393,138,258,212,304,478,412,277
FBgn0035397,2320,2437,2370,2828,5602,4017,2688
FBgn0035400,982,1106,1131,1144,2329,1955,1825
FBgn0035401,630,820,697,850,1177,1000,1012
FBgn0035402,474,563,656,682,962,941,780
FBgn0035404,598,855,892,901,1156,1188,1169
FBgn0035405,326,407,451,520,674,611,551
FBgn0035407,84,72,94,74,231,194,145
FBgn0035410,210,195,322,352,436,454,386
FBgn0035411,847,928,1044,1034,2057,1880,1320
FBgn0035414,102,111,119,126,326,337,175
FBgn0035415,123,161,124,145,391,396,276
FBgn0035416,1283,1483,1525,1596,2912,2345,2184
FBgn0035420,1340,1351,1547,1575,3097,2761,2576
FBgn0035421,197,221,268,278,406,390,284
FBgn0035422,16805,22894,18519,20601,40308,28976,20804
FBgn0035423,1238,1706,1687,1842,3591,3237,2446
FBgn0035424,4629,3798,4668,4692,10096,7956,5984
FBgn0035425,906,1018,903,1018,1625,1360,1313
FBgn0035432,2665,3006,2869,3353,4806,4080,4654
FBgn0035435,68,63,66,81,132,114,139
FBgn0035437,1920,2186,2152,2326,3734,2662,2656
FBgn0035438,2192,2822,3122,3719,5721,5156,3669
FBgn0035439,334,383,388,524,803,588,290
FBgn0035440,646,787,797,880,1720,1758,1393
FBgn0035443,90,102,126,124,229,230,164
FBgn0035444,373,396,384,399,873,767,625
FBgn0035445,48,64,69,62,142,117,40
FBgn0035449,453,560,577,627,1000,888,881
FBgn0035452,258,334,361,387,706,708,555
FBgn0035461,25,25,42,40,88,86,59
FBgn0035462,112,118,138,148,307,312,195
FBgn0035464,692,769,895,937,1412,1482,1208
FBgn0035469,139,147,153,177,433,346,261
FBgn0035470,66,104,86,101,210,153,159
FBgn0035471,759,938,1049,1096,1449,1386,1156
FBgn0035473,587,746,734,738,1511,1133,1019
FBgn0035475,57,67,64,91,167,105,82
FBgn0035477,104,124,118,122,206,148,116
FBgn0035480,117,154,85,157,306,242,202
FBgn0035482,143,143,149,158,316,303,197
FBgn0035483,90,127,150,156,198,190,173
FBgn0035488,364,428,360,402,938,656,511
FBgn0035496,161,217,120,147,513,245,234
FBgn0035497,382,307,335,361,852,591,412
FBgn0035498,676,707,716,797,1531,1328,1066
FBgn0035499,4777,5476,5797,6329,13226,10242,5684
FBgn0035515,132,159,202,228,293,338,234
FBgn0035517,177,240,284,293,293,471,363
FBgn0035518,229,267,308,357,496,481,454
FBgn0035519,339,484,463,533,925,725,698
FBgn0035520,97,157,164,191,380,263,204
FBgn0035523,10,24,68,39,62,120,19
FBgn0035524,346,467,344,430,1031,670,591
FBgn0035526,882,1119,960,1139,2255,1578,1570
FBgn0035528,686,909,764,905,2710,1803,1366
FBgn0035529,116,188,144,148,306,216,221
FBgn0035532,125,145,131,188,342,278,210
FBgn0035533,2663,2906,2683,2925,6765,4905,4974
FBgn0035534,53,73,74,95,206,120,70
FBgn0035540,169,185,126,168,385,247,217
FBgn0035541,360,362,295,321,1182,703,489
FBgn0035542,588,551,274,335,1313,455,295
FBgn0035558,3617,4055,3540,3749,7739,6272,7047
FBgn0035586,467,552,517,574,983,686,636
FBgn0035588,118,214,209,203,250,303,254
FBgn0035589,246,322,261,283,598,341,312
FBgn0035590,105,148,188,200,229,226,131
FBgn0035591,161,198,209,221,374,272,260
FBgn0035592,143,194,191,252,359,393,352
FBgn0035593,273,343,408,429,511,426,337
FBgn0035600,2156,2442,2292,2577,4071,3062,3291
FBgn0035601,1418,1834,1801,2000,3963,4077,3304
FBgn0035603,288,412,476,524,693,715,427
FBgn0035608,2036,2041,2545,2792,4974,6669,3013
FBgn0035617,860,777,789,912,2044,1681,1056
FBgn0035622,1000,1304,1406,1447,2094,2204,2185
FBgn0035623,167,210,301,329,381,607,686
FBgn0035624,57,76,85,108,173,140,115
FBgn0035626,71,93,75,86,184,118,38
FBgn0035627,88,125,102,143,295,257,200
FBgn0035630,2835,3507,3192,3680,6632,4662,4637
FBgn0035631,522,614,659,729,1196,1022,1001
FBgn0035632,204,217,225,229,333,245,286
FBgn0035639,450,561,457,612,803,593,708
FBgn0035640,217,339,329,347,712,547,557
FBgn0035641,169,126,165,175,413,457,230
FBgn0035642,119,139,135,167,321,297,191
FBgn0035644,263,322,236,270,587,295,367
FBgn0035670,32,56,47,47,81,60,56
FBgn0035674,196,222,198,273,422,462,329
FBgn0035675,88,112,93,92,210,232,196
FBgn0035678,81,71,60,57,150,108,127
FBgn0035679,305,427,357,390,792,564,574
FBgn0035688,1368,1454,1402,1628,3732,3328,2109
FBgn0035689,169,224,257,238,443,503,340
FBgn0035690,361,410,417,454,745,543,480
FBgn0035691,27,28,32,36,67,59,55
FBgn0035692,287,365,400,425,874,826,628
FBgn0035702,31,39,44,41,125,91,78
FBgn0035703,102,115,113,102,199,217,186
FBgn0035704,334,422,371,403,697,665,586
FBgn0035707,614,711,628,661,1318,1066,954
FBgn0035708,1011,1046,856,934,2251,1605,1779
FBgn0035713,2053,2026,2265,2552,3596,2500,2345
FBgn0035714,235,300,338,361,708,607,391
FBgn0035715,917,1085,949,1119,2259,1424,1123
FBgn0035719,60,50,68,87,127,105,61
FBgn0035720,4177,4394,4162,4383,8261,6212,4871
FBgn0035721,92,121,120,111,294,326,212
FBgn0035722,67,100,96,95,251,151,134
FBgn0035725,123,194,179,219,371,366,272
FBgn0035726,3101,4023,3904,4237,7182,6315,4736
FBgn0035727,25,24,83,91,58,126,31
FBgn0035751,40,68,43,55,99,89,61
FBgn0035753,12002,15546,14423,14430,25318,16133,15855
FBgn0035754,109,170,134,162,251,219,183
FBgn0035760,37,46,55,44,41,79,54
FBgn0035761,266,334,563,616,681,935,478
FBgn0035762,241,316,307,310,631,525,467
FBgn0035763,929,1125,995,1148,2178,1723,1553
FBgn0035766,1196,1322,1116,1073,2727,1775,1697
FBgn0035767,428,566,609,663,941,776,809
FBgn0035769,597,627,563,593,1365,856,913
FBgn0035770,266,242,248,235,442,394,333
FBgn0035771,2562,2933,2804,3218,5221,3546,3533
FBgn0035772,2513,2896,3328,3821,7823,7601,4697
FBgn0035793,2225,2386,2227,2351,4596,3051,2901
FBgn0035802,85,81,51,39,142,72,34
FBgn0035805,120,172,168,207,358,333,178
FBgn0035807,515,557,526,570,967,842,691
FBgn0035811,513,668,1131,1239,880,1452,772
FBgn0035812,551,556,548,637,1170,1151,782
FBgn0035824,101,117,104,141,202,142,123
FBgn0035825,333,372,389,474,546,438,433
FBgn0035827,135,164,198,195,595,463,292
FBgn0035829,284,389,436,522,867,906,668
FBgn0035830,777,895,903,1070,2074,1479,926
FBgn0035831,101,149,149,145,352,264,258
FBgn0035833,411,427,454,520,810,859,625
FBgn0035838,88,85,111,103,237,183,148
FBgn0035839,31,46,48,51,79,62,52
FBgn0035842,289,252,304,269,751,706,491
FBgn0035844,26,27,27,26,63,47,48
FBgn0035848,221,263,219,228,539,416,401
FBgn0035849,276,361,372,397,697,588,522
FBgn0035850,1011,1182,919,1061,1849,1243,1403
FBgn0035851,204,239,283,294,482,526,396
FBgn0035853,374,510,498,676,1245,1127,709
FBgn0035854,128,153,144,145,249,216,182
FBgn0035866,153,206,176,199,407,357,300
FBgn0035867,554,601,658,714,1315,1241,1038
FBgn0035868,45,62,56,60,166,160,111
FBgn0035871,971,1400,1146,1428,2461,2225,1938
FBgn0035872,2516,2547,2682,2597,4437,3416,2868
FBgn0035876,74,99,82,101,237,166,194
FBgn0035877,227,303,195,242,516,333,267
FBgn0035878,1038,1273,1181,1302,1914,1440,1491
FBgn0035879,1135,1156,923,1026,2482,1437,1681
FBgn0035880,85,99,98,114,171,134,91
FBgn0035888,147,128,134,140,208,168,178
FBgn0035890,119,151,176,187,284,297,211
FBgn0035891,78,72,144,116,139,206,148
FBgn0035892,331,353,358,389,832,724,611
FBgn0035896,175,247,252,254,437,499,434
FBgn0035900,138,162,158,196,288,251,184
FBgn0035901,137,167,202,211,399,344,238
FBgn0035902,31,44,50,41,69,80,61
FBgn0035903,88,91,56,64,172,99,122
FBgn0035904,962,1539,1331,1555,2847,2215,2459
FBgn0035906,516,678,583,656,1577,1061,880
FBgn0035907,45,58,60,88,177,123,85
FBgn0035909,2304,2818,2820,3030,5965,4916,4215
FBgn0035911,221,344,267,285,592,430,376
FBgn0035916,162,188,188,215,551,462,300
FBgn0035918,271,275,292,353,492,446,370
FBgn0035923,383,405,376,356,912,712,553
FBgn0035942,101,106,123,107,232,188,186
FBgn0035944,467,612,563,669,1542,1084,922
FBgn0035945,503,560,579,569,1086,890,737
FBgn0035947,650,848,833,1014,1636,1336,1120
FBgn0035951,366,495,505,531,853,744,577
FBgn0035953,446,511,505,528,1040,850,727
FBgn0035959,364,366,361,317,889,782,624
FBgn0035960,15,34,33,46,52,56,56
FBgn0035964,208,213,235,272,399,343,265
FBgn0035965,33,43,53,63,122,115,87
FBgn0035968,117,160,297,367,276,513,170
FBgn0035975,59,89,112,120,186,194,126
FBgn0035976,173,243,261,244,413,397,297
FBgn0035977,96,105,95,93,262,218,170
FBgn0035978,462,556,593,664,1151,1196,866
FBgn0035980,26,34,27,33,89,59,57
FBgn0035981,279,369,350,393,725,537,452
FBgn0035983,169,207,180,196,390,277,219
FBgn0035986,527,538,648,754,1301,1413,807
FBgn0035987,505,659,635,649,1380,1122,863
FBgn0035989,210,233,225,240,602,405,339
FBgn0035993,259,284,340,405,590,444,370
FBgn0035995,377,369,460,577,761,567,399
FBgn0035996,55,52,65,55,131,154,78
FBgn0035997,621,604,580,591,1138,772,734
FBgn0035998,42,47,44,65,85,74,70
FBgn0035999,66,66,68,74,203,167,97
FBgn0036000,159,186,199,215,485,356,282
FBgn0036004,1482,1419,1385,1362,3514,2264,1791
FBgn0036005,111,131,122,152,274,221,210
FBgn0036007,670,709,1277,1163,1585,2320,828
FBgn0036008,87,88,71,85,228,210,179
FBgn0036018,265,274,241,259,664,513,448
FBgn0036020,187,198,194,247,458,323,236
FBgn0036028,78,92,108,119,172,169,129
FBgn0036030,288,365,328,340,729,615,489
FBgn0036032,624,610,594,660,1425,866,551
FBgn0036035,223,295,263,298,718,494,438
FBgn0036036,28,58,62,60,133,119,76
FBgn0036038,360,406,444,430,603,477,488
FBgn0036039,195,212,220,240,456,360,307
FBgn0036043,1551,1577,1628,1714,3863,3040,2675
FBgn0036052,187,191,229,259,424,323,243
FBgn0036053,1745,1933,1605,1742,3782,2882,3460
FBgn0036058,968,1104,1103,1218,2164,1875,1489
FBgn0036059,555,656,417,490,1617,1022,919
FBgn0036063,47,68,60,60,161,118,86
FBgn0036090,107,146,144,168,367,252,216
FBgn0036096,579,732,819,934,1318,1206,934
FBgn0036099,535,602,545,711,1609,1306,796
FBgn0036101,152,146,93,140,472,284,234
FBgn0036104,395,447,478,549,883,708,546
FBgn0036105,19,42,41,35,79,98,58
FBgn0036107,46,113,67,101,262,233,162
FBgn0036110,48,64,32,46,79,30,60
FBgn0036111,1746,1859,1902,2048,4172,3753,2725
FBgn0036117,86,104,100,102,231,262,213
FBgn0036118,30,59,51,53,148,114,74
FBgn0036121,795,1175,1018,1271,2400,1859,1357
FBgn0036124,494,540,464,519,1158,812,720
FBgn0036126,60,83,83,77,266,286,146
FBgn0036133,423,556,528,545,808,636,653
FBgn0036134,813,859,797,977,1652,1114,1058
FBgn0036135,259,336,333,402,418,343,344
FBgn0036136,301,371,382,460,658,591,426
FBgn0036141,724,885,1013,1048,1570,1427,1333
FBgn0036142,40,42,42,44,78,79,71
FBgn0036144,1330,1480,1534,1738,3342,2550,2059
FBgn0036147,1108,1363,1105,1213,2653,1876,2050
FBgn0036152,222,178,172,174,344,253,115
FBgn0036155,77,80,44,54,137,56,22
FBgn0036159,192,233,229,264,484,522,329
FBgn0036165,362,299,299,311,1052,1019,435
FBgn0036169,106,143,152,188,220,229,114
FBgn0036173,235,296,322,351,870,814,482
FBgn0036180,597,615,649,693,1128,984,815
FBgn0036181,30,23,21,13,121,42,40
FBgn0036184,136,169,158,188,258,279,244
FBgn0036186,82,71,90,84,170,154,127
FBgn0036187,254,269,261,256,546,434,431
FBgn0036188,187,255,257,304,421,398,326
FBgn0036191,475,503,484,485,933,683,707
FBgn0036194,667,852,589,741,1436,903,937
FBgn0036196,177,194,107,106,315,193,179
FBgn0036198,39,69,95,128,155,135,92
FBgn0036199,376,409,334,380,729,488,534
FBgn0036207,137,133,151,188,400,362,189
FBgn0036210,50,79,66,78,139,93,115
FBgn0036211,454,604,509,576,1128,725,881
FBgn0036213,11463,19852,16801,17607,21550,22637,23211
FBgn0036237,833,943,1015,1098,1377,1012,969
FBgn0036239,761,966,923,1035,2016,1464,1467
FBgn0036240,168,207,230,245,305,338,297
FBgn0036248,189,191,193,226,469,391,320
FBgn0036249,89,114,110,136,229,174,127
FBgn0036254,258,270,210,245,767,481,327
FBgn0036255,14,43,18,31,110,98,66
FBgn0036257,747,851,676,801,1768,1199,1163
FBgn0036258,2503,3241,3186,3929,6165,4638,4030
FBgn0036263,183,237,265,275,478,418,392
FBgn0036266,43,48,47,43,111,175,87
FBgn0036271,285,351,381,426,580,647,542
FBgn0036272,480,584,789,856,1131,1149,797
FBgn0036273,102,103,97,110,206,150,109
FBgn0036277,152,237,265,267,464,490,355
FBgn0036279,719,798,690,636,1399,897,1228
FBgn0036286,382,490,416,570,760,677,661
FBgn0036288,77,99,62,100,185,138,126
FBgn0036289,38,38,45,67,79,85,52
FBgn0036290,500,713,786,965,1410,1574,864
FBgn0036291,54,71,62,63,124,144,117
FBgn0036292,95,133,141,162,288,220,188
FBgn0036298,484,605,557,709,887,722,790
FBgn0036299,322,388,699,832,580,939,439
FBgn0036300,157,266,266,310,468,446,410
FBgn0036301,178,246,189,238,511,375,302
FBgn0036302,1049,1123,1058,1147,2178,1444,1150
FBgn0036305,309,342,312,377,820,644,454
FBgn0036306,116,225,171,206,448,473,460
FBgn0036309,762,778,685,696,1921,2123,1530
FBgn0036314,407,503,495,625,794,695,603
FBgn0036316,2259,2772,3611,3991,4359,5843,4550
FBgn0036317,302,342,439,496,759,740,464
FBgn0036318,1247,1413,1204,1334,2570,2033,1730
FBgn0036331,34,31,35,39,101,97,78
FBgn0036332,320,310,277,268,1009,989,728
FBgn0036333,534,571,634,597,1594,1597,1038
FBgn0036334,758,1031,923,1171,2158,1376,1175
FBgn0036335,71,86,102,121,203,241,158
FBgn0036336,186,237,245,274,417,367,401
FBgn0036337,438,555,493,492,1185,763,800
FBgn0036340,1269,1286,1497,1505,2390,1890,1426
FBgn0036341,508,611,562,595,1150,776,732
FBgn0036342,86,128,103,124,286,276,196
FBgn0036353,248,270,347,376,396,592,412
FBgn0036354,875,995,763,845,1334,1030,1131
FBgn0036356,65,98,101,132,157,182,120
FBgn0036365,620,705,925,960,1229,1155,778
FBgn0036366,104,151,122,202,257,211,157
FBgn0036368,37,56,50,57,89,84,53
FBgn0036369,139,171,162,187,355,297,232
FBgn0036372,802,912,1079,1155,2098,1930,1174
FBgn0036373,3973,3890,2159,2267,6950,2259,2820
FBgn0036374,920,886,1034,1103,1877,1213,1188
FBgn0036376,1463,1691,1621,1744,3230,2451,2349
FBgn0036381,111,113,85,131,216,177,82
FBgn0036386,153,175,159,214,450,354,206
FBgn0036395,34,53,42,51,119,76,38
FBgn0036396,62,70,65,86,153,112,92
FBgn0036397,151,158,213,242,264,247,247
FBgn0036398,4035,3132,3373,3270,7954,5189,4417
FBgn0036402,1003,1174,1210,1361,2093,1886,1638
FBgn0036405,168,242,271,299,442,275,288
FBgn0036406,62,59,63,71,181,131,73
FBgn0036423,44,71,67,71,94,118,102
FBgn0036428,122,116,89,105,361,253,137
FBgn0036433,22,22,27,26,83,48,37
FBgn0036446,338,333,375,418,797,788,550
FBgn0036448,2275,2226,2435,2537,5258,4030,2969
FBgn0036449,894,996,1315,1505,2480,2473,1412
FBgn0036450,672,802,843,934,1452,1076,1005
FBgn0036451,3304,3166,3173,3439,7102,5076,2796
FBgn0036454,709,644,522,608,1288,794,332
FBgn0036460,428,590,435,511,982,657,772
FBgn0036462,352,442,486,577,855,769,655
FBgn0036463,411,457,520,513,837,869,519
FBgn0036476,127,125,158,157,323,252,202
FBgn0036480,373,447,486,552,849,786,539
FBgn0036483,254,257,257,315,616,527,353
FBgn0036484,529,696,693,737,1324,996,890
FBgn0036486,746,752,844,899,1684,1481,1219
FBgn0036487,497,626,667,762,1131,985,781
FBgn0036488,217,275,314,340,689,592,353
FBgn0036489,249,290,297,326,558,385,329
FBgn0036493,103,101,74,107,211,196,98
FBgn0036500,248,320,275,370,580,475,437
FBgn0036501,303,413,352,346,860,654,612
FBgn0036502,91,96,85,113,218,197,130
FBgn0036505,794,1035,843,985,2405,1965,1610
FBgn0036509,732,887,921,995,1798,1708,1379
FBgn0036510,239,369,366,353,850,606,441
FBgn0036511,1592,1702,1699,1770,3162,2244,2209
FBgn0036512,228,325,321,336,553,569,523
FBgn0036514,347,400,363,397,970,810,563
FBgn0036515,377,533,544,678,993,868,846
FBgn0036516,579,747,746,901,1464,1110,818
FBgn0036518,2725,2602,2558,2732,6134,4055,3269
FBgn0036519,200,225,219,243,458,342,294
FBgn0036522,327,325,342,381,721,604,375
FBgn0036534,2052,1859,2266,2211,5697,5048,3606
FBgn0036536,93,128,98,107,270,175,173
FBgn0036537,141,222,191,188,939,707,529
FBgn0036538,119,167,153,170,612,559,362
FBgn0036545,213,256,269,297,519,454,363
FBgn0036546,132,150,190,222,265,295,207
FBgn0036549,140,184,128,176,285,192,180
FBgn0036551,64,76,77,89,143,107,103
FBgn0036556,507,546,474,543,1802,1377,776
FBgn0036557,267,366,346,358,725,590,423
FBgn0036565,551,554,714,719,1489,1959,1250
FBgn0036566,1964,2078,2264,2257,4061,3775,3533
FBgn0036567,443,524,524,620,927,826,666
FBgn0036568,188,261,335,315,545,398,314
FBgn0036569,126,138,139,128,300,309,250
FBgn0036570,214,289,317,348,547,522,450
FBgn0036571,191,193,193,199,521,503,355
FBgn0036574,448,553,555,513,1369,892,870
FBgn0036576,555,531,279,300,1295,460,372
FBgn0036579,182,198,211,235,481,390,310
FBgn0036580,173,243,250,279,487,522,443
FBgn0036581,133,193,195,182,558,452,292
FBgn0036614,194,183,195,196,454,359,254
FBgn0036615,96,128,132,191,250,292,212
FBgn0036616,84,108,47,73,181,99,178
FBgn0036620,22,26,34,46,56,70,25
FBgn0036621,1239,1273,1108,1267,2649,2198,2003
FBgn0036622,52,53,41,71,96,76,87
FBgn0036623,1528,1885,1847,2125,3808,3433,2643
FBgn0036624,515,460,514,529,1131,870,730
FBgn0036629,48,57,52,58,109,85,98
FBgn0036640,150,192,223,227,345,425,288
FBgn0036641,117,158,214,241,231,356,148
FBgn0036643,147,263,186,189,359,279,287
FBgn0036646,37,53,77,59,169,148,134
FBgn0036648,96,165,153,135,281,188,188
FBgn0036660,148,154,194,204,332,308,226
FBgn0036661,1041,1124,1122,1311,3140,2225,1726
FBgn0036662,230,280,278,319,438,341,428
FBgn0036663,6581,6979,4715,4827,11215,6602,9719
FBgn0036666,1060,1226,1140,1236,3322,2203,1523
FBgn0036667,77,116,103,116,469,439,193
FBgn0036668,1256,1371,1368,1436,3278,2367,1917
FBgn0036671,271,325,369,457,743,611,408
FBgn0036684,847,856,498,539,1944,854,1095
FBgn0036685,940,1236,1188,1395,2204,1854,1286
FBgn0036686,975,1164,1037,1075,2319,1686,1635
FBgn0036688,189,240,384,419,371,469,302
FBgn0036689,70,80,76,108,157,161,156
FBgn0036691,143,238,212,270,341,226,299
FBgn0036695,197,257,250,259,557,392,388
FBgn0036696,78,113,140,137,211,222,179
FBgn0036697,307,372,390,443,827,752,600
FBgn0036702,2006,2222,2705,2989,4246,4040,2556
FBgn0036710,508,558,559,626,1162,952,813
FBgn0036714,248,278,290,312,610,554,353
FBgn0036726,271,370,333,359,710,663,518
FBgn0036728,766,1072,1281,1456,2100,1979,1765
FBgn0036732,2064,2178,1471,1636,4562,2382,2365
FBgn0036733,312,358,381,450,656,521,475
FBgn0036734,955,961,935,914,1981,1273,1121
FBgn0036735,737,642,620,675,1715,1266,717
FBgn0036740,609,794,730,842,1328,1307,1090
FBgn0036741,686,788,722,771,1503,1260,1450
FBgn0036745,484,743,678,774,1384,1433,1001
FBgn0036746,1289,1251,983,1080,2736,1625,1240
FBgn0036749,32,38,30,29,72,49,51
FBgn0036752,3034,3287,5144,5460,7147,9327,6710
FBgn0036754,123,183,160,165,298,218,211
FBgn0036759,22,26,22,37,47,40,46
FBgn0036760,150,183,148,190,342,307,231
FBgn0036761,612,709,682,741,1515,1050,873
FBgn0036762,2075,2532,2197,2376,3817,2571,3346
FBgn0036763,319,390,391,429,659,573,525
FBgn0036764,2010,2568,3309,3662,3990,5226,3928
FBgn0036765,136,168,188,176,320,390,173
FBgn0036770,1460,1633,1330,1333,3742,2639,3038
FBgn0036771,93,136,171,156,290,263,177
FBgn0036772,537,611,543,562,1401,1040,954
FBgn0036774,299,376,343,452,682,491,486
FBgn0036775,314,445,315,401,744,421,392
FBgn0036777,36,42,41,41,122,68,71
FBgn0036801,30,32,17,17,58,16,45
FBgn0036804,82,123,141,164,235,269,174
FBgn0036805,521,603,521,593,1055,863,674
FBgn0036806,251,306,279,329,654,497,405
FBgn0036811,99,144,126,164,215,253,175
FBgn0036812,46,56,59,44,159,126,77
FBgn0036813,369,427,347,452,747,570,455
FBgn0036814,1366,1179,1162,1264,3611,2316,1443
FBgn0036815,287,382,346,366,776,577,561
FBgn0036816,2416,2950,2721,2951,5583,4795,4795
FBgn0036817,16,21,28,37,60,33,35
FBgn0036818,31,37,36,36,89,81,42
FBgn0036819,31,29,21,37,54,56,39
FBgn0036820,45,45,48,50,123,98,63
FBgn0036821,493,478,114,147,1111,252,254
FBgn0036824,2365,3060,1790,2165,4343,2441,3161
FBgn0036825,21017,28614,23787,26491,41279,24237,29041
FBgn0036826,62,115,114,124,329,248,157
FBgn0036827,182,192,184,225,438,373,229
FBgn0036828,380,400,378,431,778,652,547
FBgn0036837,48,58,52,43,143,60,37
FBgn0036838,85,80,124,100,182,198,156
FBgn0036842,701,782,815,933,1637,1539,1320
FBgn0036843,120,149,197,165,219,324,301
FBgn0036844,1130,1091,1167,1319,2253,2117,1250
FBgn0036846,268,368,311,347,704,495,472
FBgn0036847,476,637,667,711,1289,1340,1050
FBgn0036848,239,285,347,382,497,477,436
FBgn0036849,28,36,29,39,60,63,56
FBgn0036850,88,82,122,135,220,216,155
FBgn0036853,87,132,96,141,207,197,167
FBgn0036857,302,400,301,333,745,446,487
FBgn0036862,165,137,286,345,387,594,114
FBgn0036886,184,262,202,212,478,379,319
FBgn0036887,96,138,130,130,287,264,192
FBgn0036888,1034,1221,1221,1377,2427,1948,1768
FBgn0036889,56,88,91,97,206,165,122
FBgn0036891,1664,1990,2083,2175,4361,3196,2724
FBgn0036892,636,649,722,775,1522,1386,972
FBgn0036893,95,100,146,170,206,266,140
FBgn0036896,565,558,308,343,1342,617,662
FBgn0036897,190,186,201,228,403,461,272
FBgn0036900,324,360,329,404,734,569,517
FBgn0036906,24,32,32,24,70,81,63
FBgn0036908,232,261,254,259,813,625,454
FBgn0036909,27,71,73,89,163,183,103
